Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
5 Tri,,5,,13372,10220,02h 11m 25.00s,+31° 31′ 35.1″,6.24,0.39,482,A1m,
HD 15464,,,,15464,11651,02h 30m 16.56s,+33° 50′ 01.8″,6.26,0.98,371,K1III,"variable star, Δ*V* = 0.005m, *P* = 0.26973 d"
HD 10588,,,,10588,8086,01h 43m 50.15s,+32° 11′ 31.2″,6.32,0.57,460,G8III-IV SB,
HD 13747,,,,13747,10446,02h 14m 37.88s,+28° 41′ 29.1″,6.35,2.48,194,K1III,
HD 9298,,,,9298,7147,01h 32m 07.58s,+34° 47′ 59.9″,6.39,-0.9,937,B7IIIMNp...,
HD 13189,,,,13189,10085,02h 09m 40.17s,+32° 18′ 59.2″,7.57,1.23,602,K3II,has a planet or a brown dwarf companion (b)
HD 9446,,,,9446,7245,01h 33m 20.18s,+29° 15′ 54.5″,8.35,4.74,172,G5V,has two planets (b & c)
HD 12545,,,XX,12545,9630,02h 03m 47.11s,+35° 35′ 28.7″,8.42,,522,K0III,"RS CVn variable, *V*max = 8.1m, *V*min = 8.7m, *P* = 24.26007 d"
X Tri,,,X,12211,9383,02h 00m 33.72s,+27° 53′ 19.3″,8.86,2.76,541,A7V,"Algol variable, *V*max = 8.55m, *V*min = 11.27m, *P* = 0.9715352 d"
V Tri,,,V,,,01h 31m 47.10s,+30° 22′ 01.6″,10.96,,,A3,"β Lyr variable, *V*max = 10.7m, *V*min = 11.8m, *P* = 0.5852057 d"
RV Tri,,,RV,,,02h 13m 18.16s,+31° 01′ 01.6″,11.21,,,A2:,Algol variable
WASP-56,,,,,,01h 44m 19.59s,+31° 41′ 22.5″,11.46,,,G6,has a planet
RW Tri,,,RW,,,02h 25m 36.15s,+28° 05′ 50.9″,12.5,,,M0V,"Algol variable and nova-like star, *V*max = 12.5m, *V*min = 15.61m, *P* = 
0.231883392 d"
AI Tri,,,AI,,,02h 03m 48.61s,+29° 59′ 25.8″,15.3,,,M2.5,"AM Her variable, *V*max = 14.7m, *V*min = 18.2m, *P* = 0.19174566 d"
Var 83,,,,,,01h 34m 10.91s,+30° 34′ 37.4″,15.4,,3000000,,"in Triangulum Galaxy; luminous blue variable, *V*max = 15.4m, *V*min = 16.6m; 
one of the most luminous stars known"
Var B,,,,,,01h 33m 49.20s,+30° 38′ 09.1″,16.21,,3000000,A,"in Triangulum Galaxy; luminous blue variable; one of the most luminous 
stars known"
Var C,,,,,,01h 33m 35.14s,+30° 36′ 00.4″,16.43,,3000000,B,"in Triangulum Galaxy; luminous blue variable, *V*max = 15.2m, *V*min = 17.2m; 
one of the most luminous stars known"
Var 19,,,,,,01h 33m 57.1s,+30° 45′ 12″,18.2,,3000000,,in Triangulum Galaxy; formerly thought to be a Cepheid variable
M33 X-7,,,,,,01h 33m 34.13s,+30° 32′ 11.3″,18.7,,3000000,O6III,"in Triangulum Galaxy; High-mass X-ray binary; contains largest known 
stellar black hole"
Var A,,,,,,01h 32m 32.52s,+30° 30′ 22.4″,,,3000000,F8Ia,"in Triangulum Galaxy; luminous blue variable; one of the most luminous 
stars known"
Var 2,,,Y,,,01h 34m 18.4s,+30° 38′ 27″,,,3000000,Ofpe/WN9,"in Triangulum Galaxy; luminous blue variable; one of the most luminous 
stars known"
"Table legend: 
[TABLE]",,,,,,,,,,,,
