Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 7916,,,7916,5992,01h 17m 03.68s,−66° 23′ 52.4″,6.23,1.16,336,A0V,
CC Tuc,,CC,6311,4879,01h 02m 42.89s,−65° 27′ 22.0″,6.25,-0.71,803,M2III,"semiregular variable, *V*max = 6.22m, *V*min = 6.37m"
HD 215121,,,215121,112259,22h 44m 16.48s,−60° 29′ 58.8″,6.29,0.63,442,F3V,
HD 565,,,565,798,00h 09m 52.10s,−62° 17′ 48.6″,6.34,0.68,442,A6V,
HD 215682,,,215682,112603,22h 48m 21.30s,−61° 41′ 03.7″,6.36,0.95,393,K0III,
HD 211726,,,211726,110311,22h 20m 36.25s,−57° 30′ 35.1″,6.41,-0.48,780,K3/K4III,
HD 3444,,,3444,2889,00h 36m 37.59s,−65° 07′ 27.9″,6.43,-0.05,646,K2/K3III,
HD 216169,,,216169,112895,22h 51m 45.00s,−59° 52′ 52.9″,6.47,1.27,357,K1IIICN...,
HD 220759,,,220759,115756,23h 27m 07.47s,−66° 34′ 51.1″,6.47,-0.7,886,K4III,
HD 215562,ξ[1][2],,215562,112533,22h 47m 35.71s,−65° 33′ 36.8″,6.49,0.05,633,K1III,
HD 4308,,,4308,3497,00h 44m 39.27s,−65° 38′ 58.3″,6.54,4.84,72,G5V,has a planet (b)
Gliese 902,,,222237,116745,23h 39m 36.83s,−72° 43′ 19.8″,7.09,7.29,37.1,K3V,
HD 6870,,BS,6870,5321,01h 08m 03.97s,−61° 52′ 17.8″,7.45,,339,A2IIwp,"δ Sct variable, *V*max = 7.43m, *V*min = 7.57m, *P* = 0.065 d"
HD 221287,,,221287,116084,23h 31m 20.34s,−58° 12′ 35.0″,7.82,4.2,173,F7V,has a planet (b)
CF Tuc,,CF,5303,4157,00h 53m 07.77s,−74° 39′ 05.6″,7.9,,291.3,G5IV+K4IV-V,"RS CVn variable, *V*max = 7.50m, *V*min = 7.86m, *P* = 2.79750 d"
HD 7199,,,7199,5529,01h 10m 47s,−66° 11′ 17″,8.06,,117,KOIV/V,has a planet (b)
HD 224538,,,224538,118228,23h 58m 52.0s,−61° 35′ 12″,8.06,,254,F9IV/V,has a planet (b)
HD 215497,,,215497,112441,22h 46m 36.75s,−56° 35′ 58.3″,8.97,5.78,142,K3V,has two planets (b & c)
AQ Tuc,,AQ,1372,1387,00h 17m 21.51s,−71° 54′ 56.8″,10.12,,1490,F4+...,"W UMa variable, *V*max = 9.91m, *V*min = 10.48m, *P* = 0.59484267 d"
HD 7583,,,7583,5714,01h 13m 30.50s,−73° 20′ 10.3″,10.2,,200000,A0Iao,"in SMC; yellow hypergiant, *V*max = 10.13m, *V*min = 10.44m"
R40,,,6884,5267,01h 07m 18.22s,−72° 28′ 03.7″,10.23,,200000,B9Iae,"in SMC; luminous blue variable, *V*max = 9.5m, *V*min = 10.73m"
HD 5980,,,5980,,00h 59m 26.57s,−72° 09′ 53.9″,11.31,,"200,000",WN3+OB D,"in SMC; triple star; contains a luminous blue variable and a Wolf–Rayet star, 
*V*max = 8.8m, *V*min = 11.9m; both components among the most luminous 
stars known"
W Tuc,,W,,4541,00h 58m 09.70s,−63° 23′ 44.4″,11.6,,979,A...,"RR Lyr variable, *V*max = 10.783m, *V*min = 11.950m, *P* = 0.6422382 d"
BZ Tuc,,BZ,,,00h 41m 43.43s,−73° 43′ 23.6″,11.68,,200000,F8Ib,"in SMC; classical Cepheid, *V*max = 11.65m, *V*min = 12.35m, *P* = 127.447 d"
AB7,,,,,01h 03m 35.93s,−72° 03′ 22.0″,13.02,,200000,WN4+O6I,in SMC; binary star; contains a Wolf–Rayet star
SMC X-1,,,,,01h 17m 05.15s,−73° 26′ 36.0″,13.3,,200000,OB:,in SMC; high-mass X-ray binary
SMC X-3,,,,,00h 52m 05.64s,−72° 26′ 04.2″,14.91,,200000,B1-B1.5IV-V,in SMC; X-ray pulsar
AX J0051-733,,DZ,,,00h 50m 44.70s,−73° 16′ 05.4″,15.44,,200000,B0-B0.5V,"in SMC; X-ray pulsar with Be star companion, *V*max = 14.7m, *V*min = 15.7m, 
*P* = 0.708 d"
SMC X-2,,,,,00h 54m 36.2s,−73° 40′ 35″,16.38,,200000,B1.5Ve,in SMC; high-mass X-ray binary
CP Tuc,,CP,,,23h 15m 19.10s,−59° 10′ 28.3″,,,,,AM Her variable
PSR J0045-7319,,,,,00h 45m 35.16s,−73° 19′ 03.0″,,,200000,,in SMC; pulsar
"Table legend: 
[TABLE]",,,,,,,,,,,
