Name,B,F,G.[1],Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
23 G. Oph,,,23,,148743,80840,16h 30m 30.02s,−07° 30′ 52.0″,6.46,-2.34,1874,A7Ib,
38 G. Oph,,,38,,150381,81663,16h 40m 56.42s,−08° 18′ 34.7″,6.47,0.54,499,K0,
,,,,,158716,85666,17h 30m 22.65s,+11° 55′ 26.3″,6.47,1.59,309,A1V,
52 Oph,,52,154,,159376,86060,17h 35m 18.50s,−22° 02′ 37.7″,6.47,-0.69,883,Ap Si,
64 G. Oph,,,64,,153229,83090,16h 58m 41.56s,−14° 52′ 10.6″,6.48,3.06,158,F3IV/V,
,,,,,171505,91090,18h 34m 47.49s,+10° 53′ 31.2″,6.48,0.03,635,A1V,
20 G. Oph,,,20,,148515,80719,16h 28m 48.99s,−08° 07′ 43.2″,6.49,3.16,151,F2V,
HD 156846,,,121,,156846,84856,17h 20m 34.31s,−19° 20′ 01.5″,6.51,3.06,160,G1V,has a planet (b)
ο Oph,ο,39,113,,156350,84625,17h 18m 00.64s,−24° 17′ 02.7″,6.59,0.75,481,G8/K0II,
29 Sco,,-29,,,155685,84314,17h 14m 14.25s,−26° 59′ 03.9″,6.65,1.8,304,F2/F3V,
HD 154088,,,73,,154088,83541,17h 04m 28s,−28° 34′ 58″,6.73,5.47,58,K0V,has a planet (b)
HD 155233,,,,,155233,84056,17h 11m 04.0s,−20° 39′ 16″,6.8,,245,K1III,has a planet (b)
38 Oph,,38,,,156252,84605,17h 17m 39.53s,−26° 37′ 44.5″,6.81,1.17,438,B9.5V,
HD 148427,,,,,148427,80687,16h 28m 28.15s,−13° 23′ 58.7″,6.9,3.04,193,K0IV,has a planet (b)
18 Oph,,18,47,,151659,,16h 49m 44.40s,−24° 38′ 24.0″,7.1,,,A1m...,
HD 150433,,,,,150433,81681,16h 41m 08s,−02° 51′ 26″,7.22,,97,G0,has a planet (b)
Gl 673,,,,,157881,85295,17h 25m 45.23s,+02° 06′ 41.1″,7.54,8.1,25,K5,nearby; high proper motion star
HD 157172,,,,,157172,85017,17h 22m 35s,−19° 36′ 58″,7.86,,104,G8.5V,has a planet (b)
HD 149143,,,,,149143,81022,16h 32m 51.05s,+02° 05′ 05.4″,7.9,3.89,207,G0,has a planet (b)
HD 170469,,,,,170469,90593,18h 29m 10.98s,+11° 41′ 43.8″,8.21,4.15,212,G5IV,has a planet (b)
HD 164509,,,,,164509,88268,18h 01m 31s,+00° 06′ 16″,8.24,,170,G5V,has a planet (b)
HD 171028,,,,,171028,,18h 32m 15.49s,+06° 56′ 44.7″,8.31,,294,G0V,has a planet (b)
HD 152581,,,,,152581,82651,16h 53m 44s,+11° 58′ 25″,8.54,,607,K0,has a planet (b)
HD 159243,,,,,159243,85911,17h 33m 22.0s,+05° 42′ 03″,8.65,,226,G0V,has two planets (b & c)
Barnard's Star,,,,,,87937,17h 57m 48.50s,+04° 41′ 36.2″,9.54,13.24,5.94,M4Ve,2nd nearest star system; V2500 Oph
Wolf 1061,,,,V2306,,80824,16h 30m 18.06s,−12° 39′ 45.3″,10.12,11.97,13.91,M3.5,30th nearest star system; V2306 Oph
HAT-P-57,,,,,,,18h 48m 58.0s,+10° 35′ 50″,10.47,,988,,has a transiting planet (b)
COROT-6,,,,,,,18h 44m 17.42s,+06° 39′ 48.0″,13.9,,,F5V,has a transiting planet (b)
GJ 1214,,,,,,,17h 15m 18.94s,+04° 57′ 49.7″,14.67,14.1,42,M4.5,has a transiting super-Earth planet (b)
COROT-25,,,,,,,18h 42m 31.0s,+06° 30′ 50″,15,,3262,G0V,has a transiting planet (b)
COROT-29,,,,,,,18h 35m 37.0s,+06° 28′ 47″,15.35,,2495,KOV,has a transiting planet (b)
COROT-26,,,,,,,18h 39m 00.0s,+06° 58′ 12″,15.76,,5447,G8IV,has a transiting planet (b)
SN 1604,,,,,,,17h 30m 35.98s,−21° 28′ 56.2″,n/a,,,S,Kepler's star; supernova
"Table legend: 
[TABLE]",,,,,,,,,,,,,
